iter	Passed	Remaining
0	0	77
1	2	109
2	3	111
3	4	111
4	5	112
5	7	111
6	8	110
7	9	110
8	10	110
9	12	108
10	13	107
11	14	106
12	15	105
13	17	104
14	18	103
15	19	102
16	20	101
17	22	100
18	23	99
19	24	98
20	25	97
21	27	96
22	28	94
23	29	93
24	30	92
25	32	91
26	33	90
27	34	89
28	36	88
29	37	87
30	38	85
31	39	84
32	41	83
33	43	83
34	44	82
35	45	81
36	47	80
37	48	78
38	49	77
39	50	76
40	52	75
41	53	73
42	54	72
43	56	71
44	57	69
45	58	68
46	59	67
47	61	66
48	62	64
49	62	62
50	64	61
51	65	60
52	66	59
53	68	58
54	69	56
55	70	55
56	72	54
57	73	53
58	74	51
59	75	50
60	77	49
61	78	48
62	79	46
63	80	45
64	82	44
65	83	43
66	84	41
67	85	40
68	86	38
69	88	37
70	89	36
71	90	35
72	91	34
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	101	23
81	102	22
82	103	21
83	104	19
84	106	18
85	107	17
86	108	16
87	109	14
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
