iter	Passed	Remaining
0	58	58471
1	59	29878
2	61	20356
3	62	15590
4	64	12739
5	65	10816
6	65	9335
7	67	8314
8	68	7549
9	69	6911
10	71	6390
11	72	5965
12	73	5593
13	74	5244
14	75	4973
15	77	4739
16	80	4631
17	81	4436
18	82	4270
19	84	4120
20	85	3982
21	86	3866
22	88	3752
23	89	3652
24	91	3551
25	92	3458
26	93	3375
27	94	3295
28	96	3229
29	97	3159
30	98	3081
31	100	3025
32	101	2973
33	103	2930
34	105	2916
35	107	2870
36	109	2857
37	111	2828
38	113	2796
39	114	2747
40	115	2712
41	117	2676
42	118	2642
43	120	2609
44	121	2568
45	122	2537
46	123	2510
47	125	2486
48	126	2458
49	127	2417
50	128	2398
51	130	2381
52	132	2364
53	134	2349
54	139	2400
55	141	2385
56	143	2369
57	145	2356
58	147	2346
59	148	2327
60	150	2309
61	151	2290
62	152	2274
63	154	2259
64	155	2240
65	157	2226
66	158	2209
67	160	2194
68	161	2178
69	162	2164
70	164	2156
71	169	2184
72	171	2174
73	173	2168
74	174	2146
75	176	2144
76	177	2130
77	179	2118
78	180	2104
79	181	2092
80	183	2080
81	184	2068
82	186	2058
83	187	2047
84	189	2037
85	190	2027
86	192	2016
87	193	2004
88	194	1994
89	196	1982
90	197	1971
91	198	1961
92	200	1952
93	201	1944
94	203	1937
95	204	1927
96	205	1909
97	206	1899
98	207	1892
99	209	1884
100	210	1876
101	212	1867
102	213	1858
103	214	1848
104	215	1840
105	217	1833
106	218	1824
107	219	1816
108	221	1808
109	222	1800
110	223	1792
111	225	1784
112	225	1769
113	226	1761
114	227	1753
115	229	1746
116	230	1739
117	231	1732
118	233	1725
119	234	1718
120	235	1711
121	236	1704
122	237	1694
123	238	1687
124	240	1681
125	241	1675
126	242	1669
127	244	1663
128	245	1657
129	246	1651
130	248	1645
131	249	1639
132	250	1633
133	251	1628
134	253	1622
135	254	1616
136	255	1611
137	257	1605
138	258	1600
139	259	1594
140	260	1589
141	262	1584
142	263	1579
143	264	1574
144	266	1570
145	267	1565
146	268	1560
147	270	1555
148	271	1549
149	272	1545
150	273	1539
151	275	1534
152	276	1529
153	277	1524
154	278	1520
155	280	1515
156	281	1511
157	282	1507
158	284	1502
159	285	1497
160	286	1493
161	287	1489
162	289	1485
163	290	1481
164	291	1476
165	293	1473
166	294	1468
167	295	1464
168	297	1460
169	298	1456
170	299	1452
171	300	1448
172	302	1444
173	303	1440
174	304	1435
175	305	1432
176	307	1428
177	308	1424
178	309	1421
179	311	1417
180	312	1413
181	313	1409
182	314	1405
183	316	1402
184	317	1397
185	318	1394
186	319	1390
187	323	1396
188	324	1393
189	325	1389
190	327	1385
191	328	1382
192	329	1379
193	331	1376
194	332	1373
195	333	1366
196	334	1362
197	335	1359
198	336	1356
199	338	1353
200	339	1350
201	340	1347
202	342	1343
203	342	1337
204	344	1334
205	345	1333
206	347	1330
207	348	1326
208	349	1324
209	351	1321
210	352	1319
211	354	1316
212	355	1315
213	357	1312
214	358	1309
215	360	1307
216	361	1306
217	366	1313
218	367	1311
219	369	1308
220	370	1306
221	372	1303
222	373	1302
223	375	1300
224	376	1297
225	377	1294
226	379	1291
227	380	1289
228	381	1283
229	382	1280
230	383	1277
231	385	1274
232	386	1272
233	387	1269
234	389	1266
235	389	1261
236	390	1258
237	392	1255
238	393	1252
239	394	1249
240	395	1244
241	396	1241
242	397	1238
243	399	1236
244	400	1234
245	402	1232
246	403	1229
247	404	1226
248	405	1224
249	407	1221
250	408	1218
251	409	1216
252	411	1213
253	412	1211
254	414	1209
255	415	1207
256	416	1205
257	419	1205
258	420	1203
259	422	1202
260	425	1203
261	428	1206
262	431	1208
263	434	1211
264	435	1207
265	436	1205
266	438	1203
267	439	1201
268	441	1199
269	442	1196
270	444	1194
271	445	1192
272	446	1189
273	447	1186
274	449	1184
275	450	1182
276	451	1179
277	453	1177
278	454	1175
279	456	1172
280	457	1170
281	458	1167
282	460	1165
283	461	1163
284	462	1160
285	463	1158
286	465	1155
287	466	1153
288	467	1151
289	469	1148
290	470	1145
291	471	1143
292	472	1141
293	473	1136
294	474	1134
295	476	1132
296	477	1129
297	478	1127
298	479	1123
299	480	1120
300	481	1118
301	483	1116
302	484	1114
303	485	1111
304	486	1109
305	488	1107
306	489	1104
307	490	1102
308	492	1100
309	493	1098
310	495	1096
311	496	1094
312	497	1092
313	498	1089
314	500	1087
315	501	1085
316	502	1082
317	503	1080
318	505	1078
319	506	1075
320	507	1073
321	508	1071
322	510	1069
323	511	1066
324	512	1064
325	513	1062
326	515	1060
327	516	1058
328	517	1056
329	519	1053
330	520	1051
331	521	1049
332	522	1047
333	524	1045
334	525	1043
335	526	1041
336	527	1038
337	529	1036
338	530	1034
339	531	1032
340	533	1030
341	534	1028
342	535	1025
343	536	1023
344	538	1021
345	539	1019
346	540	1017
347	542	1015
348	543	1013
349	544	1011
350	546	1010
351	547	1008
352	549	1007
353	550	1005
354	552	1003
355	553	1001
356	555	999
357	556	997
358	557	996
359	559	994
360	560	992
361	561	990
362	563	988
363	565	988
364	567	987
365	569	985
366	570	984
367	572	983
368	574	982
369	576	980
370	577	979
371	579	977
372	580	975
373	581	973
374	583	971
375	584	970
376	586	969
377	588	968
378	589	966
379	591	964
380	592	962
381	594	961
382	595	959
383	597	958
384	601	960
385	602	958
386	604	957
387	605	954
388	606	952
389	608	951
390	609	949
391	611	948
392	613	946
393	614	945
394	615	943
395	617	941
396	618	939
397	620	937
398	621	936
399	623	934
400	624	932
401	625	931
402	627	929
403	628	927
404	630	926
405	631	924
406	633	922
407	634	920
408	635	918
409	636	916
410	638	914
411	639	912
412	640	910
413	641	908
414	643	906
415	644	905
416	646	903
417	647	901
418	648	899
419	649	897
420	651	896
421	652	894
422	654	892
423	655	890
424	657	889
425	658	887
426	660	886
427	662	885
428	663	883
429	664	881
430	666	879
431	667	877
432	668	875
433	670	874
434	671	872
435	672	870
436	674	868
437	675	866
438	676	864
439	678	863
440	679	860
441	680	859
442	681	857
443	683	855
444	684	853
445	685	851
446	687	849
447	688	848
